sample_name,replicate,layer,Q2E,zooMS_ID,batch,plate
DC10487,3,11.2,0.76,Bison/Yak,20,3
DC10488,1,11.2,0.8,Capra,20,3
DC10488,2,11.2,0.8,Capra,20,3
DC10488,3,11.2,0.8,Capra,20,3
DC10489,1,11.2,0.546666666666667,Ursidae,20,3
DC10489,2,11.2,0.546666666666667,Ursidae,20,3
DC10489,3,11.2,0.546666666666667,Ursidae,20,3
DC10490,1,11.2,0.556666666666667,Bison/Yak,20,3
DC10490,2,11.2,0.556666666666667,Bison/Yak,20,3
DC10490,3,11.2,0.556666666666667,Bison/Yak,20,3
DC10491,1,11.2,0.733333333333334,Rhinocerotidae,20,3
DC10491,2,11.2,0.733333333333334,Rhinocerotidae,20,3
DC10491,3,11.2,0.733333333333334,Rhinocerotidae,20,3
DC10492,1,11.2,0.66,Cervidae/Gazella/Saiga,20,3
DC10492,2,11.2,0.66,Cervidae/Gazella/Saiga,20,3
DC10492,3,11.2,0.66,Cervidae/Gazella/Saiga,20,3
DC10493,1,11.2,0.826666666666667,Capra,20,3
DC10493,2,11.2,0.826666666666667,Capra,20,3
DC10493,3,11.2,0.826666666666667,Capra,20,3
DC10494,1,11.2,0.726666666666667,Bison/Yak,20,3
DC10494,2,11.2,0.726666666666667,Bison/Yak,20,3
DC10494,3,11.2,0.726666666666667,Bison/Yak,20,3
DC10495,1,11.2,0.823333333333333,Bison/Yak,20,3
DC10495,2,11.2,0.823333333333333,Bison/Yak,20,3
DC10495,3,11.2,0.823333333333333,Bison/Yak,20,3
DC10496,1,11.2,0.71,Bison/Yak,20,3
DC10496,2,11.2,0.71,Bison/Yak,20,3
DC10496,3,11.2,0.71,Bison/Yak,20,3
DC10497,1,11.2,0.69,Bison/Yak,20,3
DC10497,2,11.2,0.69,Bison/Yak,20,3
DC10497,3,11.2,0.69,Bison/Yak,20,3
DC10498,1,11.2,0.623333333333334,Cervidae/Gazella/Saiga,20,3
DC10498,2,11.2,0.623333333333334,Cervidae/Gazella/Saiga,20,3
