zooMS_ID,sample,pep_number,q2e,gamma_0,gamma_1,gamma_2,residual,reliability,sd,MDS.Model
Bison/Yak,DC10387,pep1,0.6571625631231091,0.4227751412355356,0.8103898978186721,0,0.11269661881829285,0.8873033811817072,0.11605013900897618,0.8875097284495926
Bison/Yak,DC10387,pep2,0.6593247710911194,0.3788044897367942,0.733118120398479,0,0.09048397059405996,0.90951602940594,0.11605013900897618,0.8875097284495926
Bison/Yak,DC10387,pep4,0.7474336259182671,0.2661925926203561,0.7877584473316749,0,0.07246988976782168,0.9275301102321784,0.11605013900897618,0.8875097284495926
Bison/Yak,DC10391,pep4,0.7224325522537833,0.2982570118497311,0.776281858869832,0,0.06692984615019308,0.933070153849807,0.11420416351539042,0.610150989340206
Bison/Yak,DC10393,pep1,0.7500179786648602,0.28246519854706575,0.8474768550391691,0,0.06893400922395969,0.9310659907760404,0.18670928670758938,1.541464015899142
Bison/Yak,DC10393,pep2,0.806491156503172,0.202977155405038,0.8459524528604636,0,0.07009033106197832,0.9299096689380217,0.18670928670758938,1.541464015899142
Bison/Yak,DC10397,pep1,0.8308723813601988,0.18439525815580324,0.905877635407005,0,0.09057292800453397,0.909427071995466,0.1405041397420843,1.01183668403804
Bison/Yak,DC10397,pep2,0.7594002043883958,0.2558140100276662,0.807420517571942,0,0.09197777211809063,0.9080222278819093,0.1405041397420843,1.01183668403804
Bison/Yak,DC10397,pep4,0.510512584522236,0.5852930834784061,0.6104334356745554,0,0.02191133246595878,0.9780886675340412,0.1405041397420843,1.01183668403804
Bison/Yak,DC10397,pep7,0.8895931694031122,0.12136383339144888,0.9778782400864752,0,0.10956242312385939,0.8904375768761406,0.1405041397420843,1.01183668403804
Bison/Yak,DC10398,pep1,0.4684295080901749,0.8431581001814255,0.7430061301770527,0,0.1480474493632486,0.8519525506367513,0.13781665484153488,0.8933758098411891
Bison/Yak,DC10398,pep2,0.2043693601829203,1.0035713491254452,0.25778197099829003,0,0.05766712374270998,0.94233287625729,0.13781665484153488,0.8933758098411891
Bison/Yak,DC10398,pep4,0.6389636991644834,0.3932693475532332,0.6960098929085217,0,0.08064439845385211,0.9193556015461479,0.13781665484153488,0.8933758098411891
Bison/Yak,DC10399,pep1,0.5840771465253536,0.5642424670856806,0.7923611972043737,0,0.1452089869196849,0.8547910130803151,0.1321070839024972,0.7736521124854386
Bison/Yak,DC10399,pep2,0.578138701225813,0.4914070044332518,0.6734474296216035,0,0.06673082460255653,0.9332691753974435,0.1321070839024972,0.7736521124854386
Bison/Yak,DC10399,pep4,0.8184869083281592,0.1843312536830835,0.8311946898468614,0,0.09022257544050165,0.9097774245594984,0.1321070839024972,0.7736521124854386
Bison/Yak,DC10400,pep1,0.749201736484127,0.2833402466680008,0.8464133756096438,0,0.08026608151209873,0.9197339184879013,0.1916455206855809,1.4641882442367689
Bison/Yak,DC10400,pep2,0.7476250519215516,0.2701598127753971,0.8003101955687767,0,0.08575350427207999,0.91424649572792,0.1916455206855809,1.4641882442367689
Bison/Yak,DC10406,pep1,0.7868321992828358,0.2403896185417964,0.8873117403550413,0,0.07775772448178563,0.9222422755182144,0.19430781721038762,1.4396479555302317
Bison/Yak,DC10406,pep2,0.7445775406522899,0.2739599609962245,0.7986158872508515,0,0.08680422509065203,0.913195774909348,0.19430781721038762,1.4396479555302317
Bison/Yak,DC10406,pep7,0.8930043041046011,0.09477787628749687,0.7910323004148777,0,0.19460785444351056,0.8053921455564894,0.19430781721038762,1.4396479555302317
Bison/Yak,DC10408,pep2,0.7993330464385011,0.20934875130439276,0.8339159596448025,0,0.052861864955892623,0.9471381350441074,0.15158723490516227,1.3334422166843065
Bison/Yak,DC10413,pep1,0.7604884744813215,0.27041457256384643,0.8586107299899461,0,0.05697845593661486,0.9430215440633851,0.11370066719565115,0.9436373735339709
Bison/Yak,DC10413,pep2,0.778182082911344,0.23411695612592842,0.8213295975100289,0,0.08757834414473001,0.91242165585527,0.11370066719565115,0.9436373735339709
Bison/Yak,DC10413,pep4,0.7649374909287463,0.25074360429469345,0.8159667158044014,0,0.05351213988058968,0.9464878601194103,0.11370066719565115,0.9436373735339709
Bison/Yak,DC10419,pep4,0.7836036690174322,0.22638608233287502,0.8197780615088798,0,0.06106010671371656,0.9389398932862835,0.12872923092175342,0.8359866768676388
Bison/Yak,DC10423,pep1,0.7422992480272829,0.30124093975391403,0.8677154464727218,0,0.09193042751280799,0.908069572487192,0.15075000602779962,1.3495341740876945
Bison/Yak,DC10423,pep2,0.7749769503073071,0.2373272033678602,0.8173523225383553,0,0.09448930221536286,0.9055106977846371,0.15075000602779962,1.3495341740876945
Bison/Yak,DC10423,pep4,0.8285387488821284,0.17981459409720316,0.868903952658233,0,0.05576044389061163,0.9442395561093884,0.15075000602779962,1.3495341740876945
Bison/Yak,DC10426,pep2,0.7743961453642875,0.23910417693814426,0.8207366547898018,0,0.08050585122747692,0.9194941487725231,0.16732221698198282,1.3292753177789784
Bison/Yak,DC10426,pep4,0.8217990602902077,0.18286146895030306,0.843291755876124,0,0.06634215372755087,0.9336578462724492,0.16732221698198282,1.3292753177789784
Bison/Yak,DC10428,pep1,0.727942692288809,0.31661967033195104,0.8471780346283083,0,0.1220236327359897,0.8779763672640103,0.22336039006914885,1.0910292017479573
Bison/Yak,DC10430,pep1,0.34213443470363336,0.9910361330957665,0.5154055859647341,0,0.07486090553276678,0.9251390944672332,0.19449560133975918,0.6964168722050116
Bison/Yak,DC10430,pep2,0.22066672569578538,0.9555734442619425,0.27056879265855116,0,0.14906567949633848,0.8509343205036615,0.19449560133975918,0.6964168722050116
Bison/Yak,DC10432,pep1,0.4537096750487345,0.7556306466880244,0.627572774964069,0,0.08845344151839477,0.9115465584816053,0.12688935501717558,0.8870026885953702
Bison/Yak,DC10432,pep2,0.17860288282011683,1.0036327978133013,0.2182278306474984,0,0.03937260784743186,0.9606273921525681,0.12688935501717558,0.8870026885953702
Bison/Yak,DC10432,pep4,0.6024658780607356,0.43759723549881213,0.6631818205583396,0,0.09061130676839503,0.909388693231605,0.12688935501717558,0.8870026885953702
Bison/Yak,DC10435,pep2,0.24290742255929088,0.9652618714303806,0.30969696477082886,0,0.16974181944411193,0.8302581805558881,0.13461695335484306,1.021584511979757
Bison/Yak,DC10435,pep4,0.6595273881178672,0.36682214055763124,0.7105688969470838,0,0.09045054333466107,0.9095494566653389,0.13461695335484306,1.021584511979757
Bison/Yak,DC10437,pep1,0.44688727189682476,0.7613288049359528,0.6151153921571537,0,0.07066354070332724,0.9293364592966727,0.12602439971458787,0.9269338882481817
Bison/Yak,DC10437,pep2,0.2135088132485804,1.0042602257700468,0.2726265883316041,0,0.04265857306652021,0.9573414269334798,0.12602439971458787,0.9269338882481817
Bison/Yak,DC10437,pep3,0.5867565973275148,0.4860503080236313,0.6901337638340119,0,0.10554401550102863,0.8944559844989713,0.12602439971458787,0.9269338882481817
Bison/Yak,DC10437,pep4,0.6393213531947155,0.3896603752252961,0.6906929494772271,0,0.09855074174654847,0.9014492582534516,0.12602439971458787,0.9269338882481817
Bison/Yak,DC10438,pep1,0.394795858791407,0.8745631813015385,0.5705081950360976,0,0.13189908385825871,0.8681009161417412,0.14424195205055734,0.658731345732558
Bison/Yak,DC10438,pep2,0.07138277371811053,1.000759040063776,0.07692831242131262,0,0.11050197648354046,0.8894980235164596,0.14424195205055734,0.658731345732558
Bison/Yak,DC10438,pep4,0.46139328592425455,0.6587439375935036,0.5643079115166858,0,0.030613721017600397,0.9693862789823996,0.14424195205055734,0.658731345732558
Bison/Yak,DC10439,pep2,0.21991848179313978,1.0070046927098506,0.28389205231829573,0,0.0903632178991523,0.9096367821008478,0.1591458748960191,0.9083914281934421
Bison/Yak,DC10439,pep4,0.6153902141911178,0.42705011261590536,0.6832963433843386,0,0.05098954619991226,0.9490104538000877,0.1591458748960191,0.9083914281934421
Bison/Yak,DC10442,pep2,0.232052695816112,1.0032435128250459,0.3031527820238715,0,0.05573934311422017,0.9442606568857799,0.11520903984474629,0.46568050902000374
Bison/Yak,DC10442,pep4,0.6102096826982062,0.43304910983252815,0.6779305389955399,0,0.08605609562549754,0.9139439043745025,0.11520903984474629,0.46568050902000374
Bison/Yak,DC10448,pep1,0.39978562356921554,0.9481899263181531,0.6315621815147665,0,0.15162280028455533,0.8483771997154447,0.10045680909281267,0.813681326384129
Bison/Yak,DC10448,pep2,0.21245948640865608,1.0226833069979013,0.2758953557482967,0,0.033168286924666314,0.9668317130753337,0.10045680909281267,0.813681326384129
Bison/Yak,DC10448,pep3,0.4839094502346084,0.6405198816469192,0.600579925234047,0,0.1197605403676703,0.8802394596323297,0.10045680909281267,0.813681326384129
Bison/Yak,DC10448,pep4,0.5190528133663856,0.5661178456393207,0.6109715757623464,0,0.04787409519743277,0.9521259048025672,0.10045680909281267,0.813681326384129
Bison/Yak,DC10448,pep7,0.2734213199133835,0.7869949784976508,0.29615678478259283,0,0.08324269246272273,0.9167573075372772,0.10045680909281267,0.813681326384129
Bison/Yak,DC10450,pep2,0.3128764839944148,0.9300776212313137,0.42350379399673643,0,0.04212926690298378,0.9578707330970162,0.10148712469516612,0.9433985642297695
Bison/Yak,DC10450,pep3,0.5408763255549324,0.5572088725616074,0.6564268068336951,0,0.07195216218044571,0.9280478378195542,0.10148712469516612,0.9433985642297695
Bison/Yak,DC10450,pep4,0.6087227202470227,0.436205337945266,0.6786187536060063,0,0.057918532078592815,0.9420814679214072,0.10148712469516612,0.9433985642297695
Bison/Yak,DC10450,pep7,0.3523202487664816,0.6520081364233633,0.3546747731188935,0,0.07948751513199487,0.9205124848680051,0.10148712469516612,0.9433985642297695
Bison/Yak,DC10453,pep1,0.48432129989057326,0.7473496488681495,0.7019047971843291,0,0.09988220914074686,0.9001177908592531,0.09967258784793963,0.9075939869689301
Bison/Yak,DC10453,pep2,0.2366241220588967,1.0029675770329374,0.31089051832375053,0,0.03730779708967398,0.962692202910326,0.09967258784793963,0.9075939869689301
Bison/Yak,DC10453,pep3,0.37829299802186944,0.8053551492671047,0.4900382542246486,0,0.0829642166086671,0.917035783391333,0.09967258784793963,0.9075939869689301
Bison/Yak,DC10453,pep4,0.6568648776372691,0.37789623426310914,0.7234082071505913,0,0.049892851922792865,0.9501071480772071,0.09967258784793963,0.9075939869689301
Bison/Yak,DC10453,pep7,0.37811351534613136,0.6772292347577271,0.4117624887634252,0,0.09699999605937477,0.9030000039406252,0.09967258784793963,0.9075939869689301
Bison/Yak,DC10454,pep1,0.649121630722791,0.42807979779763233,0.7919435358705396,0,0.031507020595798595,0.9684929794042014,0.08876188573980283,1.0609072610886487
Bison/Yak,DC10454,pep2,0.34677093977938933,0.86168487085475165,0.457431076870753,0,0.043712840747752904,0.956287159252247,0.08876188573980283,1.0609072610886487
Bison/Yak,DC10454,pep3,0.6664698340017082,0.3793333766976191,0.7579951631729303,0,0.06983422407521721,0.9301657759247828,0.08876188573980283,1.0609072610886487
Bison/Yak,DC10454,pep4,0.7147594080175129,0.31198196597372735,0.781768274149467,0,0.04480891286246541,0.9551910871375346,0.08876188573980283,1.0609072610886487
Bison/Yak,DC10454,pep7,0.6437494903751261,0.37148007255061266,0.6712695166128533,0,0.16128872483695492,0.8387112751630451,0.08876188573980283,1.0609072610886487
Bison/Yak,DC10458,pep1,0.5987249139455675,0.5060101212569509,0.754995455322282,0,0.030019905040278117,0.9699800949597219,0.10247564353276795,1.1267356033511013
Bison/Yak,DC10458,pep2,0.35233029087597323,0.8584053569347053,0.46696982248459845,0,0.031928910949718184,0.9680710890502818,0.10247564353276795,1.1267356033511013
Bison/Yak,DC10458,pep4,0.7459716240327581,0.27072950487624503,0.7950156263336507,0,0.047890594949090336,0.9521094050509097,0.10247564353276795,1.1267356033511013
Bison/Yak,DC10458,pep7,0.259382567611563,0.833862917915217,0.29203944604355475,0,0.1939864324346984,0.8060135675653016,0.10247564353276795,1.1267356033511013
Bison/Yak,DC10459,pep1,0.34534712661207434,0.9873801019224635,0.5208697539326329,0,0.0454461775652429,0.9545538224347571,0.1061665947901937,0.7807442702326315
Bison/Yak,DC10459,pep2,0.17892942642281695,1.0026484897478203,0.2184992678432857,0,0.04043159186727925,0.9595684081327207,0.1061665947901937,0.7807442702326315
Bison/Yak,DC10459,pep4,0.5442982095793287,0.5206526370357828,0.6218766397422468,0,0.05200593517190289,0.9479940648280971,0.1061665947901937,0.7807442702326315
Bison/Yak,DC10459,pep7,0.3856794157248372,0.6384003911756264,0.4007970694285555,0,0.12632888358991848,0.8736711164100815,0.1061665947901937,0.7807442702326315
Bison/Yak,DC10460,pep1,0.21394119045341575,0.9993446854232884,0.2719910890586897,0,0.036960020440541544,0.9630399795594584,0.1073967956715184,0.6262616117446789
